"Tipo de Población",2001,2002,2003,2004,2005,2006,2007,2008
"Población urbana",19495424,20254250,20716430,21182672,21649834,22123541,22600697,23081077
"Población rural",4970157,4965660,4957120,4944679,4927589,4907115,4882511,4853706
