# Deuda Publica
# Deuda (index 0)
# X	Y
  2003	47.4
  2004	38.8
  2005	33.1	
  2006	24.0


# Deuda Interna
# Deuda Interna (index 1)
# X	Y
  2003	17.9
  2004	14.0
  2005	11.1
  2006	9.2	


# Deuda Externa
# Deuda Externa (index 2)
# X	Y
  2003	29.5
  2004	24.8
  2005	22.0	
  2006	14.9
